,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\F_4$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
100,5.050000000000001,73.3774766510413,-2.1678110841261753,57.22611703795891,-1.9708317007976177,-0.572452656094323,-2.1645108766236625,-5.584220744976682,-28.210969827609702,22.45471628431866,-0.09186966734271086,0.16912484775435147,-0.24217810537666096,0.19777777791023254,0.19838592410087585,0.19724616408348083,0.20026849955320358,1.0,-0.2327609505794774,-1.8693420432116672,-0.580885634156302,56.66164348273855,0.0,0.0,0.0
101,5.1000000000000005,75.08244017500442,-2.4721166719648022,57.799387523459366,-1.9734449830401632,-0.5868988210156671,-2.1681664391916624,-5.318519191920548,-28.59071943271692,22.373180431634523,-0.08087993627924947,0.16778574981367175,-0.24077246692031637,0.19695547968149185,0.1975731924176216,0.1964651718735695,0.19936155527830124,1.0,-0.25539850033121114,-2.1678110841261753,-0.5811899787920088,57.22611703795891,0.0,0.0,0.0
102,5.15,76.79423231413338,-2.781517600276149,58.382248102612294,-1.9754931262511612,-0.6012620686916827,-2.17177048476164,-5.04688938778903,-28.966477265337538,22.291839698338013,-0.07048404687444908,0.16651196526572531,-0.2394040128216149,0.19612348079681396,0.19677170366048813,0.19567398726940155,0.19844689965248108,1.0,-0.27630701632283533,-2.4721166719648022,-0.5815371434405334,57.799387523459366,0.0,0.0,0.0
103,5.2,78.51274879466695,-3.0952760060552387,58.9754527940285,-1.977000566680296,-0.6155434599724181,-2.175335660989548,-4.769421555662861,-29.3382815871218,22.21095173001362,-0.060746210227993265,0.16530613048530302,-0.23806583192199485,0.19529592990875244,0.1959892362356186,0.19488602131605148,0.19753816723823547,1.0,-0.29545921011367643,-2.781517600276149,-0.5819311886363903,58.382248102612294,0.0,0.0,0.0
104,5.25,80.23790327560391,-3.412665946455382,59.579710152833975,-1.977994455347906,-0.6297439795230835,-2.178874652383249,-4.4862057173416146,-29.706167469097803,22.13076224924657,-0.05170184994453658,0.16416921014588576,-0.2367529800161721,0.19448480755090714,0.19523220509290695,0.19411280751228333,0.1966475397348404,1.0,-0.312889425905897,-3.0952760060552387,-0.5823751998256753,58.9754527940285,0.0,0.0,0.0
105,5.300000000000001,81.96962603536548,-3.7329803331677867,60.19567901561969,-1.9785033236789047,-0.6438645753883794,-2.182400022855068,-4.19733169355442,-30.070165982006586,22.051503460287467,-0.04336073340531708,0.16309994048071982,-0.23546221163123862,0.19369954615831375,0.19450510293245316,0.19336328655481339,0.19578465074300766,1.0,-0.3286749112551136,-3.412665946455382,-0.5828711895900176,59.579710152833975,0.0,0.0,0.0
106,5.3500000000000005,83.70786251679215,-4.055536129573359,60.823966285758225,-1.9785559212500345,-0.6579061723393487,-2.1859240470996504,-3.902889088705332,-30.430303680862586,21.973392916780732,-0.035713017695015156,0.16209632420109138,-0.23419138994067923,0.1929464489221573,0.1938108131289482,0.19264362752437592,0.19495631754398346,1.0,-0.34291946956742786,-3.7329803331677867,-0.5834201602498872,60.19567901561969,0.0,0.0,0.0
107,5.4,85.45257182322922,-4.3796778162675025,61.46512648963683,-1.9781802967914293,-0.6718696866812115,-2.1894586534340283,-3.602967271215932,-30.786602352675807,21.896633058305536,-0.028733382784145785,0.16115451653448049,-0.23293926324695363,0.192229762673378,0.19315076619386673,0.1919577643275261,0.19416707754135132,1.0,-0.3557405581941493,-4.055536129573359,-0.5840222496033765,60.823966285758225,0.0,0.0,0.0
108,5.45,87.20372522481581,-4.704779471544118,62.119662714777505,-1.9774031185720868,-0.685756009192513,-2.193015318113587,-3.297655349175683,-31.139078974581036,21.8214111000129,-0.022386744260722166,0.1602715620512448,-0.23170495536178365,0.19155118614435196,0.19252534210681915,0.1913076639175415,0.19341927766799927,1.0,-0.3672599297890502,-4.3796778162675025,-0.584676902812647,61.46512648963683,0.0,0.0,0.0
109,5.5,88.96130474212472,-5.030245587611292,62.788028579469575,-1.9762491720633713,-0.6995660202852165,-2.1966051387710657,-2.9870421537236718,-31.487745838586893,21.747899283848135,-0.016632261770705085,0.15944227644630657,-0.23048801030963673,0.190911166369915,0.19193371385335922,0.1906934380531311,0.19271325320005417,1.0,-0.37759729984038387,-4.704779471544118,-0.5853830460897514,62.119662714777505,0.0,0.0,0.0
